"starttime","total_price"
"2017-05-22","2705.0"
"2017-05-23","3000.0"
"2017-05-30","1790.0"
"2017-06-05","3250.0"
"2017-06-15","1200.0"
"2017-06-16","1750.0"
"2017-06-21","4780.0"
"2017-06-28","1880.0"
"2017-07-05","4850.0"
"2017-07-31","2980.0"
"2017-08-31","4200.0"
"2017-09-07","2400.0"
"2017-09-11","3420.0"
"2017-09-19","2400.0"
"2017-09-28","3600.0"
"2017-10-02","6220.0"
"2017-10-03","4350.0"
"2017-10-04","900.0"
"2017-10-05","25095.0"
"2017-10-10","3585.0"
"2017-10-12","7180.0"
"2017-10-16","18725.0"
"2017-10-18","3600.0"
"2017-10-19","7490.0"
"2017-10-26","4200.0"
"2017-10-30","15535.0"
"2017-11-09","2400.0"
"2017-11-13","1710.0"
"2017-11-14","2400.0"
"2017-11-15","6100.0"
"2017-11-16","2400.0"
"2017-11-21","4200.0"
"2017-11-22","2080.0"
"2017-11-27","1060.0"
"2017-11-29","2400.0"
"2017-11-30","10335.0"
"2017-12-04","6210.0"
"2017-12-05","1800.0"
"2017-12-06","4200.0"
"2017-12-07","3960.0"
"2017-12-08","1700.0"
"2017-12-13","3080.0"
"2017-12-14","4200.0"
"2017-12-19","4800.0"
"2017-12-20","3000.0"
"2017-12-21","2830.0"
"2018-01-03","2390.0"
"2018-01-08","1695.0"
"2018-01-14","1800.0"
"2018-02-12","5960.0"
"2018-02-13","2400.0"
"2018-02-19","4590.0"
"2018-02-21","6000.0"
"2018-02-22","3975.0"
"2018-02-27","6000.0"
"2018-02-28","5020.0"
"2018-03-01","5400.0"
"2018-03-06","1800.0"
"2018-03-07","6550.0"
"2018-03-08","3180.0"
"2018-03-09","1580.0"
"2018-03-12","3670.0"
"2018-03-13","1800.0"
"2018-03-16","3585.0"
"2018-03-19","0.0"
"2018-03-20","5400.0"
"2018-03-22","1390.0"
"2018-03-26","23900.0"
"2018-03-27","1200.0"
"2018-03-28","3600.0"
"2018-04-04","1650.0"
"2018-04-10","580.0"
"2018-04-11","2400.0"
"2018-04-16","4780.0"
