"created_at","count"
"2016-08-29","25"
"2016-08-30","17"
"2016-08-31","10"
"2016-09-01","12"
"2016-09-02","16"
"2016-09-05","16"
"2016-09-06","27"
"2016-09-07","8"
"2016-09-08","16"
"2016-09-09","21"
"2016-09-12","20"
"2016-09-13","36"
"2016-09-14","14"
"2016-09-15","19"
"2016-09-16","8"
"2016-09-19","1"
"2016-09-20","21"
"2016-09-21","2"
"2016-09-22","8"
"2016-09-23","15"
"2016-09-26","10"
"2016-09-27","21"
"2016-09-28","3"
"2016-09-29","10"
"2016-09-30","12"
"2016-10-03","36"
"2016-10-04","22"
"2016-10-05","33"
"2016-10-06","30"
"2016-10-07","11"
"2016-10-10","30"
"2016-10-11","27"
"2016-10-12","30"
"2016-10-13","31"
"2016-10-14","23"
"2016-10-17","46"
"2016-10-18","28"
"2016-10-19","32"
"2016-10-20","33"
"2016-10-21","16"
"2016-10-24","29"
"2016-10-25","31"
"2016-10-26","40"
"2016-10-27","9"
"2016-10-28","16"
"2016-11-01","6"
"2016-11-02","1"
"2016-11-03","23"
"2016-11-04","12"
"2016-11-05","3"
"2016-11-07","29"
"2016-11-08","57"
"2016-11-09","28"
"2016-11-10","32"
"2016-11-14","25"
"2016-11-16","20"
"2016-11-17","25"
"2016-11-18","24"
"2016-11-21","24"
"2016-11-22","31"
"2016-11-23","20"
"2016-11-24","34"
"2016-11-25","19"
"2016-11-28","26"
"2016-11-29","31"
"2016-11-30","30"
"2016-12-01","26"
"2016-12-02","5"
"2016-12-05","11"
"2016-12-06","26"
"2016-12-07","21"
"2016-12-08","29"
"2016-12-09","20"
"2016-12-12","27"
"2016-12-13","33"
"2016-12-14","20"
"2016-12-15","28"
"2016-12-16","30"
"2016-12-19","21"
"2016-12-20","15"
"2016-12-21","10"
"2016-12-22","18"
"2016-12-23","15"
"2016-12-26","1"
"2017-01-03","2"
"2017-01-04","10"
"2017-01-05","9"
"2017-01-06","2"
"2017-01-09","6"
"2017-01-10","7"
"2017-01-11","1"
"2017-01-12","11"
"2017-01-13","2"
"2017-01-16","7"
"2017-01-17","4"
"2017-01-18","6"
"2017-01-19","6"
"2017-01-20","1"
"2017-01-23","11"
"2017-01-24","12"
"2017-01-25","11"
"2017-01-26","1"
"2017-01-27","5"
"2017-01-30","4"
"2017-01-31","9"
"2017-02-01","22"
"2017-02-02","3"
"2017-02-03","2"
"2017-02-06","21"
"2017-02-07","9"
"2017-02-08","5"
"2017-02-09","8"
"2017-02-10","5"
"2017-02-13","25"
"2017-02-14","19"
"2017-02-15","13"
"2017-02-16","12"
"2017-02-17","8"
"2017-02-20","24"
"2017-02-21","28"
"2017-02-22","16"
"2017-02-23","33"
"2017-02-24","12"
"2017-02-27","11"
"2017-02-28","27"
"2017-03-01","27"
"2017-03-02","24"
"2017-03-03","8"
"2017-03-06","19"
"2017-03-07","32"
"2017-03-08","35"
"2017-03-09","12"
"2017-03-10","10"
"2017-03-13","20"
"2017-03-14","6"
"2017-03-15","9"
"2017-03-16","19"
"2017-03-17","8"
"2017-03-20","18"
"2017-03-21","33"
"2017-03-22","41"
"2017-03-23","27"
"2017-03-27","28"
"2017-03-28","17"
"2017-03-29","34"
"2017-03-30","21"
"2017-03-31","18"
"2017-04-04","22"
"2017-04-05","11"
"2017-04-06","16"
"2017-04-07","1"
"2017-04-10","12"
"2017-04-11","15"
"2017-04-12","11"
"2017-04-13","4"
"2017-04-14","9"
"2017-04-18","29"
"2017-04-19","17"
"2017-04-20","25"
"2017-04-21","16"
"2017-04-24","8"
"2017-04-25","23"
"2017-04-26","11"
"2017-04-27","13"
"2017-04-28","13"
"2017-05-02","30"
"2017-05-03","25"
"2017-05-04","20"
"2017-05-05","38"
"2017-05-08","22"
"2017-05-09","17"
"2017-05-10","10"
"2017-05-11","19"
"2017-05-12","19"
"2017-05-15","28"
"2017-05-16","32"
"2017-05-17","29"
"2017-05-18","68"
"2017-05-19","13"
"2017-05-22","28"
"2017-05-23","14"
"2017-05-24","21"
"2017-05-29","8"
"2017-05-30","6"
"2017-05-31","6"
"2017-06-01","4"
"2017-06-02","14"
"2017-06-06","9"
"2017-06-07","8"
"2017-06-08","3"
"2017-06-09","4"
"2017-06-12","5"
"2017-06-13","3"
"2017-06-14","1"
"2017-06-15","1"
"2017-06-19","6"
"2017-06-20","3"
"2017-06-21","3"
"2017-06-22","2"
"2017-06-23","5"
"2017-06-26","14"
"2017-06-27","3"
"2017-06-28","4"
"2017-06-29","3"
"2017-06-30","3"
"2017-07-03","2"
"2017-07-04","4"
"2017-07-05","11"
"2017-07-06","2"
"2017-07-07","2"
"2017-07-12","2"
"2017-07-13","1"
"2017-07-24","2"
"2017-07-25","2"
"2017-07-26","1"
"2017-07-27","8"
"2017-07-31","20"
"2017-08-01","19"
"2017-08-02","5"
"2017-08-03","4"
"2017-08-04","4"
"2017-08-07","6"
"2017-08-08","7"
"2017-08-09","12"
"2017-08-10","27"
"2017-08-11","2"
"2017-08-15","2"
"2017-08-16","1"
"2017-08-18","1"
"2017-08-29","2"
"2017-08-31","1"
"2017-09-04","2"
"2017-09-05","7"
"2017-09-06","1"
"2017-09-07","16"
"2017-09-08","1"
"2017-09-11","13"
"2017-09-12","6"
"2017-09-13","5"
"2017-09-14","4"
"2017-09-18","9"
"2017-09-19","5"
"2017-09-20","7"
"2017-09-21","2"
"2017-09-22","20"
"2017-09-25","9"
"2017-09-26","7"
"2017-09-27","4"
"2017-09-28","11"
"2017-09-29","3"
"2017-10-02","80"
"2017-10-03","18"
"2017-10-04","32"
"2017-10-05","36"
"2017-10-06","8"
"2017-10-09","14"
"2017-10-10","32"
"2017-10-11","13"
"2017-10-12","27"
"2017-10-13","13"
"2017-10-16","24"
"2017-10-17","11"
"2017-10-18","14"
"2017-10-19","57"
"2017-10-20","13"
"2017-10-23","28"
"2017-10-24","26"
"2017-10-25","31"
"2017-10-26","25"
"2017-10-27","27"
"2017-10-28","4"
"2017-10-30","30"
"2017-10-31","20"
"2017-11-06","23"
"2017-11-07","23"
"2017-11-08","14"
"2017-11-09","25"
"2017-11-10","9"
"2017-11-13","35"
"2017-11-14","23"
"2017-11-16","19"
"2017-11-17","8"
"2017-11-20","31"
"2017-11-21","25"
"2017-11-22","11"
"2017-11-23","13"
"2017-11-24","10"
"2017-11-27","11"
"2017-11-28","11"
"2017-11-29","17"
"2017-11-30","28"
"2017-12-01","2"
"2017-12-04","11"
"2017-12-05","7"
"2017-12-06","17"
"2017-12-07","11"
"2017-12-08","13"
"2017-12-11","19"
"2017-12-12","13"
"2017-12-13","14"
"2017-12-14","9"
"2017-12-15","8"
"2017-12-18","24"
"2017-12-19","26"
"2017-12-20","15"
"2017-12-21","18"
"2017-12-22","11"
"2018-01-02","1"
"2018-01-03","8"
"2018-01-04","2"
"2018-01-05","7"
"2018-01-08","13"
"2018-01-09","1"
"2018-01-10","8"
"2018-01-11","4"
"2018-01-12","11"
"2018-01-15","5"
"2018-01-16","2"
"2018-01-17","4"
"2018-01-18","4"
"2018-01-19","4"
"2018-01-22","2"
"2018-01-23","5"
"2018-01-24","1"
"2018-01-26","1"
"2018-01-29","5"
"2018-01-31","3"
"2018-02-01","4"
"2018-02-08","3"
"2018-02-09","3"
"2018-02-12","17"
"2018-02-13","13"
"2018-02-14","12"
"2018-02-15","25"
"2018-02-16","5"
"2018-02-19","25"
"2018-02-20","22"
"2018-02-21","23"
"2018-02-22","20"
"2018-02-23","7"
"2018-02-26","29"
"2018-02-27","41"
"2018-02-28","44"
"2018-03-01","58"
"2018-03-02","16"
"2018-03-05","23"
"2018-03-06","27"
"2018-03-07","35"
"2018-03-08","27"
"2018-03-09","21"
"2018-03-12","24"
"2018-03-13","25"
"2018-03-14","6"
"2018-03-15","16"
"2018-03-16","27"
"2018-03-19","16"
"2018-03-20","18"
"2018-03-21","24"
"2018-03-22","53"
"2018-03-26","26"
"2018-03-27","27"
"2018-03-28","27"
"2018-03-29","45"
"2018-03-30","3"
"2018-04-03","3"
"2018-04-04","1"
"2018-04-09","8"
"2018-04-10","2"
"2018-04-11","33"
"2018-04-12","2"
"2018-04-13","1"
"2018-04-15","72"
"2018-04-16","36"
"2018-04-17","36"
"2018-04-18","22"
