"starttime","num_users"
"2016-03-22","5"
"2016-03-23","6"
"2016-03-24","4"
"2016-03-29","4"
"2016-03-30","6"
"2016-03-31","4"
"2016-04-03","0"
"2016-04-04","6"
"2016-04-06","8"
"2016-04-12","3"
"2016-04-13","3"
"2016-04-14","3"
"2016-04-15","5"
"2016-04-18","5"
"2016-04-19","3"
"2016-04-21","3"
"2016-04-25","5"
"2016-04-26","9"
"2016-04-29","0"
"2016-05-10","2"
"2016-05-12","7"
"2016-05-22","2"
"2016-05-25","4"
"2016-05-26","2"
"2016-05-27","4"
"2016-05-29","2"
"2016-05-30","6"
"2016-05-31","3"
"2016-06-04","3"
"2016-06-09","4"
"2016-06-11","2"
"2016-06-14","2"
"2016-06-16","4"
"2016-06-17","3"
"2016-06-19","1"
"2016-06-21","6"
"2016-06-24","0"
"2016-06-29","3"
"2016-07-05","6"
"2016-07-12","4"
"2016-07-25","6"
"2016-07-26","7"
"2016-08-01","0"
"2016-08-08","1"
"2016-08-10","3"
"2016-08-12","3"
"2016-08-15","2"
"2016-08-16","1"
"2016-08-18","3"
"2016-08-23","4"
"2016-08-25","0"
"2016-08-29","2"
"2016-08-30","6"
"2016-09-05","4"
"2016-09-06","6"
"2016-09-08","2"
"2016-09-09","2"
"2016-09-12","2"
"2016-09-13","4"
"2016-09-20","7"
"2016-09-22","2"
"2016-09-27","5"
"2016-09-29","3"
"2016-10-05","9"
"2016-10-10","5"
"2016-10-17","7"
"2016-10-18","6"
"2016-10-19","4"
"2016-10-20","6"
"2016-10-24","7"
"2016-10-25","5"
"2016-10-26","6"
"2016-11-01","8"
"2016-11-03","2"
"2016-11-04","8"
"2016-11-07","4"
"2016-11-08","4"
"2016-11-09","0"
"2016-11-14","3"
"2016-11-16","3"
"2016-11-17","6"
"2016-11-18","1"
"2016-11-21","0"
"2016-11-22","3"
"2016-11-23","5"
"2016-11-24","2"
"2016-11-29","5"
"2016-11-30","2"
"2016-12-01","5"
"2016-12-06","7"
"2016-12-07","9"
"2016-12-08","2"
"2016-12-09","1"
"2016-12-13","0"
"2016-12-14","1"
"2016-12-20","4"
"2017-02-20","5"
"2017-02-21","4"
"2017-02-24","3"
"2017-02-28","3"
"2017-03-06","5"
"2017-03-07","7"
"2017-03-08","2"
"2017-03-13","5"
"2017-03-14","4"
"2017-03-15","2"
"2017-03-16","3"
"2017-03-21","4"
"2017-03-22","5"
"2017-03-23","6"
"2017-03-27","3"
"2017-03-28","2"
"2017-03-29","0"
"2017-03-30","0"
"2017-04-06","1"
"2017-04-11","1"
"2017-04-18","4"
"2017-04-25","4"
"2017-04-26","2"
"2017-04-27","0"
"2017-05-02","8"
"2017-05-03","7"
"2017-05-04","2"
"2017-05-09","11"
"2017-05-11","2"
"2017-05-12","2"
"2017-05-22","3"
"2017-05-23","4"
"2017-05-30","1"
"2017-06-05","2"
"2017-06-15","2"
"2017-06-16","2"
"2017-06-21","1"
"2017-06-28","3"
"2017-07-05","1"
"2017-07-31","4"
"2017-08-31","2"
"2017-09-07","2"
"2017-09-11","3"
"2017-09-19","2"
"2017-09-28","1"
"2017-10-02","7"
"2017-10-03","3"
"2017-10-04","0"
"2017-10-05","4"
"2017-10-10","2"
"2017-10-12","6"
"2017-10-16","5"
"2017-10-18","3"
"2017-10-19","3"
"2017-10-26","6"
"2017-10-30","1"
"2017-11-09","1"
"2017-11-13","3"
"2017-11-14","2"
"2017-11-15","7"
"2017-11-16","4"
"2017-11-21","3"
"2017-11-22","3"
"2017-11-27","2"
"2017-11-29","4"
"2017-11-30","11"
"2017-12-04","8"
"2017-12-05","3"
"2017-12-06","7"
"2017-12-07","5"
"2017-12-08","3"
"2017-12-13","4"
"2017-12-14","4"
"2017-12-19","5"
"2017-12-20","1"
"2017-12-21","3"
"2018-01-03","2"
"2018-01-08","2"
"2018-01-14","2"
"2018-02-12","5"
"2018-02-13","3"
"2018-02-19","5"
"2018-02-21","7"
"2018-02-22","5"
"2018-02-27","3"
"2018-02-28","8"
"2018-03-01","6"
"2018-03-06","2"
"2018-03-07","9"
"2018-03-08","3"
"2018-03-09","2"
"2018-03-12","5"
"2018-03-13","2"
"2018-03-16","3"
"2018-03-19","0"
"2018-03-20","6"
"2018-03-22","3"
"2018-03-26","7"
"2018-03-27","2"
"2018-03-28","4"
"2018-04-04","3"
"2018-04-10","1"
"2018-04-11","4"
"2018-04-16","4"
"2018-04-17","4"
